School Name,District Name (School),County Name (School)
California Virtual Academy @ San Diego (Spencer Valley Elementary),Spencer Valley Elementary,San Diego
California Virtual Academy @ San Joaquin (New Jerusalem Elementary),New Jerusalem Elementary,San Joaquin
California Virtual Academy @ San Mateo (Jefferson Elementary),Jefferson Elementary,San Mateo
California Virtual Academy @ Sonoma (Liberty Elementary),Liberty Elementary,Sonoma
California Virtual Academy @ Sutter (Meridian Elementary),Meridian Elementary,Sutter
California Virtual Academy High @ Maricopa (Maricopa Unified),Maricopa Unified,Kern
Calimesa Elementary (Yucaipa-Calimesa Joint Unified),Yucaipa-Calimesa Joint Unified,San Bernardino
Calipatria High (Calipatria Unified),Calipatria Unified,Imperial
Calistoga Elementary (Calistoga Joint Unified),Calistoga Joint Unified,Napa
Calistoga Junior-Senior High (Calistoga Joint Unified),Calistoga Joint Unified,Napa
Calla High (Manteca Unified),Manteca Unified,San Joaquin
Calle Mayor Middle (Torrance Unified),Torrance Unified,Los Angeles
Callie Kirkpatrick Elementary (Menifee Union Elementary),Menifee Union Elementary,Riverside
Calpella Elementary (Ukiah Unified),Ukiah Unified,Mendocino
Calvert Charter for Enriched Studies (Los Angeles Unified),Los Angeles Unified,Los Angeles
Calvine High (Elk Grove Unified),Elk Grove Unified,Sacramento
Calwa Elementary (Fresno Unified),Fresno Unified,Fresno
Camarena (Enrique S.) Elementary (Chula Vista Elementary),Chula Vista Elementary,San Diego
Camarillo Academy of Progressive Education (Oxnard Union High),Oxnard Union High,Ventura
Camarillo Heights Elementary (Pleasant Valley),Pleasant Valley,Ventura
Cambria Community Day (Coast Unified),Coast Unified,San Luis Obispo
Cambria Grammar (Coast Unified),Coast Unified,San Luis Obispo
Cambridge Continuation High (Fresno Unified),Fresno Unified,Fresno
Cambridge Elementary (Travis Unified),Travis Unified,Solano
Cambridge Elementary (Orange Unified),Orange Unified,Orange
Cambridge Elementary (Mt. Diablo Unified),Mt. Diablo Unified,Contra Costa
Cambridge Heights Elementary (San Juan Unified),San Juan Unified,Sacramento
Cambridge High (Coalinga-Huron Unified),Coalinga-Huron Unified,Fresno
Camden Community Day (Campbell Union High),Campbell Union High,Santa Clara
Camellia Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Camellia Elementary (Sacramento City Unified),Sacramento City Unified,Sacramento
Camerado Springs Middle (Buckeye Union Elementary),Buckeye Union Elementary,El Dorado
Cameron Elementary (West Covina Unified),West Covina Unified,Los Angeles
Cameron Elementary (Barstow Unified),Barstow Unified,San Bernardino
Cameron Ranch Elementary (San Juan Unified),San Juan Unified,Sacramento
Camino Elementary (Camino Union Elementary),Camino Union Elementary,El Dorado
Camino Grove Elementary (Arcadia Unified),Arcadia Unified,Los Angeles
Camino Nuevo Academy #2 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Camino Nuevo Charter Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Camino Nuevo Charter Academy No. 4 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Camino Nuevo Charter High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Camino Nuevo Elementary No. 3 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Camino Nuevo High No. 2 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Camino Pablo Elementary (Moraga Elementary),Moraga Elementary,Contra Costa
Camino Real Elementary (Jurupa Unified),Jurupa Unified,Riverside
Camino Science and Natural Resources Charter (Camino Union Elementary),Camino Union Elementary,El Dorado
Camp Glenwood (San Mateo County Office of Education),San Mateo County Office of Education,San Mateo
Campbell High Community Day (Yosemite Unified),Yosemite Unified,Madera
Campbell Middle (Campbell Union),Campbell Union,Santa Clara
Campo Elementary (Mountain Empire Unified),Mountain Empire Unified,San Diego
Campo High (Continuation) (Mountain Empire Unified),Mountain Empire Unified,San Diego
Campolindo High (Acalanes Union High),Acalanes Union High,Contra Costa
Camptonville Academy (Camptonville Elementary),Camptonville Elementary,Yuba
Camptonville Elementary (Camptonville Elementary),Camptonville Elementary,Yuba
Campus Canyon Elementary (Moorpark Unified),Moorpark Unified,Ventura
Campus Park Elementary (Livingston Union),Livingston Union,Merced
Canalino Elementary (Carpinteria Unified),Carpinteria Unified,Santa Barbara
Canfield Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Canoas Elementary (San Jose Unified),San Jose Unified,Santa Clara
Canoga Park Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Canoga Park Senior High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cantara Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Canterbury Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cantua Elementary (Golden Plains Unified),Golden Plains Unified,Fresno
Canyon Charter Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Canyon Crest Academy (San Dieguito Union High),San Dieguito Union High,San Diego
Canyon Crest Elementary (Fontana Unified),Fontana Unified,San Bernardino
Canyon Elementary (Canyon Elementary),Canyon Elementary,Contra Costa
Canyon High (William S. Hart Union High),William S. Hart Union High,Los Angeles
Canyon High (Orange Unified),Orange Unified,Orange
Canyon Hills (Orange Unified),Orange Unified,Orange
Canyon Hills Junior High (Chino Valley Unified),Chino Valley Unified,San Bernardino
Canyon Lake Middle (Lake Elsinore Unified),Lake Elsinore Unified,Riverside
Canyon Middle (Castro Valley Unified),Castro Valley Unified,Alameda
Canyon Oaks Elementary (Napa Valley Unified),Napa Valley Unified,Napa
Canyon Oaks High (Monrovia Unified),Monrovia Unified,Los Angeles
Canyon Oaks Youth Center (San Mateo County Office of Education),San Mateo County Office of Education,San Mateo
Canyon Ridge High (Hesperia Unified),Hesperia Unified,San Bernardino
Canyon Rim Elementary (Orange Unified),Orange Unified,Orange
Canyon Springs Community Elementary (Sulphur Springs Union),Sulphur Springs Union,Los Angeles
Canyon Springs High (Moreno Valley Unified),Moreno Valley Unified,Riverside
Canyon View Elementary (Poway Unified),Poway Unified,San Diego
Canyon View Elementary (Irvine Unified),Irvine Unified,Orange
Canyon Vista Elementary (Capistrano Unified),Capistrano Unified,Orange
Capay Joint Union Elementary (Capay Joint Union Elementary),Capay Joint Union Elementary,Glenn
Capistrano Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Capistrano Connections Academy (Capistrano Unified),Capistrano Unified,Orange
Capistrano Elementary (Empire Union Elementary),Empire Union Elementary,Stanislaus
Capistrano Valley High (Capistrano Unified),Capistrano Unified,Orange
Capistrano Virtual/Home (Capistrano Unified),Capistrano Unified,Orange
Capital City Independent Study (Sacramento City Unified),Sacramento City Unified,Sacramento
Capitol Collegiate Academy (Sacramento City Unified),Sacramento City Unified,Sacramento
Cappy Culver Elementary (San Miguel Joint Union),San Miguel Joint Union,San Luis Obispo
Capri Elementary (Encinitas Union Elementary),Encinitas Union Elementary,San Diego
Capri Elementary (Campbell Union),Campbell Union,Santa Clara
Captain Cooper Elementary (Carmel Unified),Carmel Unified,Monterey
Captain Jason M. Dahl Elementary (Franklin-McKinley Elementary),Franklin-McKinley Elementary,Santa Clara
Captain John Continuation High (Klamath-Trinity Joint Unified),Klamath-Trinity Joint Unified,Humboldt
Captain Leland Norton Elementary (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Captain Raymond Collins (Paramount Unified),Paramount Unified,Los Angeles
Capuchino High (San Mateo Union High),San Mateo Union High,San Mateo
Cardiff Elementary (Cardiff Elementary),Cardiff Elementary,San Diego
Cardozo Middle (Riverbank Unified),Riverbank Unified,Stanislaus
Carl B. Munck Elementary (Oakland Unified),Oakland Unified,Alameda
Carl E. Gilbert Elementary (Buena Park Elementary),Buena Park Elementary,Orange
Carl H. Sundahl Elementary (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Carl Hankey Elementary (Capistrano Unified),Capistrano Unified,Orange
Carl Hankey Middle (Capistrano Unified),Capistrano Unified,Orange
Carl Harvey Elementary (Santa Ana Unified),Santa Ana Unified,Orange
Carl Smith Middle (Terra Bella Union Elementary),Terra Bella Union Elementary,Tulare
Carle (William C.) High (Continuation) (Konocti Unified),Konocti Unified,Lake
Carleton P. Lightfoot Elementary (Etiwanda Elementary),Etiwanda Elementary,San Bernardino
Carlin C. Coppin Elementary (Western Placer Unified),Western Placer Unified,Placer
Carlmont High (Sequoia Union High),Sequoia Union High,San Mateo
Carlos Santana Arts Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Carlsbad High (Carlsbad Unified),Carlsbad Unified,San Diego
Carlsbad Seaside Academy (Carlsbad Unified),Carlsbad Unified,San Diego
Carlsbad Village Academy (Carlsbad Unified),Carlsbad Unified,San Diego
Carlton Elementary (Union Elementary),Union Elementary,Santa Clara
Carlton Hills Elementary (Santee),Santee,San Diego
Carlton Oaks Elementary (Santee),Santee,San Diego
Carmack (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Carmel Creek Elementary (Solana Beach Elementary),Solana Beach Elementary,San Diego
Carmel Del Mar Elementary (Del Mar Union Elementary),Del Mar Union Elementary,San Diego
Carmel Elementary (Hesperia Unified),Hesperia Unified,San Bernardino
Carmel High (Carmel Unified),Carmel Unified,Monterey
Carmel Middle (Carmel Unified),Carmel Unified,Monterey
Carmel River Elementary (Carmel Unified),Carmel Unified,Monterey
Carmel Valley High (Carmel Unified),Carmel Unified,Monterey
Carmel Valley Middle (San Dieguito Union High),San Dieguito Union High,San Diego
Carmela Elementary (South Whittier Elementary),South Whittier Elementary,Los Angeles
Carmen Dragon Elementary (Antioch Unified),Antioch Unified,Contra Costa
Carmenita Middle (ABC Unified),ABC Unified,Los Angeles
Carmichael (Bessie)/FEC (San Francisco Unified),San Francisco Unified,San Francisco
Carmichael Elementary (San Juan Unified),San Juan Unified,Sacramento
Carnelian Elementary (Alta Loma Elementary),Alta Loma Elementary,San Bernardino
Caroldale Learning Community (Los Angeles Unified),Los Angeles Unified,Los Angeles
Caroline Harris Elementary (Bakersfield City),Bakersfield City,Kern
Caroline Wenzel Elementary (Sacramento City Unified),Sacramento City Unified,Sacramento
Carolyn A. Clark Elementary (Evergreen Elementary),Evergreen Elementary,Santa Clara
Carpe Diem High (Continuation) (Petaluma Joint Union High),Petaluma Joint Union High,Sonoma
Carpenter Community Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Carpenter Elementary (Downey Unified),Downey Unified,Los Angeles
Carpinteria Family (Carpinteria Unified),Carpinteria Unified,Santa Barbara
Carpinteria Middle (Carpinteria Unified),Carpinteria Unified,Santa Barbara
Carpinteria Senior High (Carpinteria Unified),Carpinteria Unified,Santa Barbara
Carquinez Middle (John Swett Unified),John Swett Unified,Contra Costa
Carr Lake Community Day (Salinas Union High),Salinas Union High,Monterey
Carriage Drive Elementary (San Juan Unified),San Juan Unified,Sacramento
Carriage Drive Elementary (San Juan Unified),San Juan Unified,Sacramento
Carrillo Elementary (San Marcos Unified),San Marcos Unified,San Diego
Carrillo Ranch Elementary (Desert Sands Unified),Desert Sands Unified,Riverside
Carrisa Plains Elementary (Atascadero Unified),Atascadero Unified,San Luis Obispo
Carroll Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Carroll Fowler Elementary (Ceres Unified),Ceres Unified,Stanislaus
Carson Elementary (San Diego Unified),San Diego Unified,San Diego
Carson Senior High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Carson Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Carson-Gore Academy of Enviornmental Studies (Los Angeles Unified),Los Angeles Unified,Los Angeles
Carter G. Woodson Public Charter (Fresno Unified),Fresno Unified,Fresno
Carthay Elementary Of Environmental Studies Magnet (Los Angeles Unified),Los Angeles Unified,Los Angeles
Caruthers Elementary (Caruthers Unified),Caruthers Unified,Fresno
Caruthers High (Caruthers Unified),Caruthers Unified,Fresno
Carver (Charles J.) Elementary (ABC Unified),ABC Unified,Los Angeles
Carver (George Washington) Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Carver Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Carver Elementary (San Diego Unified),San Diego Unified,San Diego
Carver Elementary (San Marino Unified),San Marino Unified,Los Angeles
Carver Elementary (Compton Unified),Compton Unified,Los Angeles
Caryn Elementary (Etiwanda Elementary),Etiwanda Elementary,San Bernardino
Casa de Oro Elementary (La Mesa-Spring Valley),La Mesa-Spring Valley,San Diego
Casa Grande High (Petaluma Joint Union High),Petaluma Joint Union High,Sonoma
Casa Loma Elementary (Bakersfield City),Bakersfield City,Kern
"Casa Ramona Academy for Technology, Community, and Education (San Bernardino City Unified)",San Bernardino City Unified,San Bernardino
Casa Roble Fundamental High (San Juan Unified),San Juan Unified,Sacramento
Cascade Community Day (Cascade Union Elementary),Cascade Union Elementary,Shasta
Cascade High (Butte Valley Unified),Butte Valley Unified,Siskiyou
Casey Elementary (Rialto Unified),Rialto Unified,San Bernardino
Casillas (Joseph) Elementary (Chula Vista Elementary),Chula Vista Elementary,San Diego
Casimir Middle (Torrance Unified),Torrance Unified,Los Angeles
Casita Center for Science/Math/Technology (Vista Unified),Vista Unified,San Diego
Castaic Elementary (Castaic Union),Castaic Union,Los Angeles
Castaic Middle (Castaic Union),Castaic Union,Los Angeles
Castelar Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Casterlin Elementary (Southern Humboldt Joint Unified),Southern Humboldt Joint Unified,Humboldt
Castille Elementary (Capistrano Unified),Capistrano Unified,Orange
Castillero Middle (San Jose Unified),San Jose Unified,Santa Clara
Castle Heights Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Castle Park Elementary (Chula Vista Elementary),Chula Vista Elementary,San Diego
Castle Park Middle (Sweetwater Union High),Sweetwater Union High,San Diego
Castle Park Senior High (Sweetwater Union High),Sweetwater Union High,San Diego
Castle Rock (Del Norte County Office of Education),Del Norte County Office of Education,Del Norte
Castle Rock Elementary (Woodlake Unified),Woodlake Unified,Tulare
Castle Rock Elementary (Castle Rock Union Elementary),Castle Rock Union Elementary,Shasta
Castle Rock Elementary (Walnut Valley Unified),Walnut Valley Unified,Los Angeles
Castle View Elementary (Riverside Unified),Riverside Unified,Riverside
Castlebay Lane Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Castlemont Elementary (Campbell Union),Campbell Union,Santa Clara
